"Day 1: STUDY PHASE",,,
,"BD","Gerry Walker",
,"BF","Cassidy Thornton",
,"BM","Madison Phillips",
,"W","Lee Carter",
,"BS","Julia Keller",
,"BK","Sasha Goldstein",
,"BN","Meridith Townsend",
,"V","Jessie Foster",
,"U","Dakota Edwards",
,"BP","Shawn Mitchell",
,"J","Jamie Harrison",
,"K","Reese Johnson",
,"L","Alex Atkins",
,"C","Morgan Greenwood",
,"G","Quinn Armstrong",
,"H","Greg Jennings",
,"CO","Emily Boyd",
,"CI","Sarah Owens",
,"CP","Tiffany Horton",
,"CJ","Elizabeth Simpson",
,"CQ","Megan Stone",
,"CK","Alice Creed",
,"CD","Peter Bell",
,"BV","William Jenkins",
,"CE","Patrick Schwartz",
,"BW","Robert Powell",
,"CR","Andrew Cohen",
,"BY","Paul Marshall",
,"DU","Erin Craig",
,"EJ","Elyse Dawson",
,"CS","Emma Tucker",
,"CT","Olivia Wells",
,"CU","Sophie Mason",
,"CV","Chloe Dixon",
,"CW","Hannah Holmes",
,"DA","Jacob Moore",
,"DB","Ethan White",
,"DC","Daniel Garcia",
,"DD","Anthony Young",
,"DE","Matthew King",
,"DF","Jason Baker",
,"DG","Kyle Nelson",
,"B","Jordan Irwin",
,"D","Taylor Hamilton",
,"F","Chris Irving",
,"Y","Sam Anderson",
,"E","Robin Jackson",
,"I","Ali Ferguson",
,"BT","Charlie Henderson",
,"BJ","Jonah Newton",
,"BI","Brett Roberts",
,"BQ","Aubrey Reynolds",
,"M","Logan Greenberg",
,"BL","Ricki Jones",
,"BR","Bobby Lynch",
,"AX","Kerry Lewis",
,,,
"Day 1: TEST PHASE",,,
,"BD","Gerry Walker","old"
,"BF","Cassidy Thornton","old"
,"BM","Madison Phillips","old"
,"W","Lee Carter","old"
,"BS","Julia Keller","old"
,"BK","Sasha Goldstein","old"
,"BN","Meridith Townsend","old"
,"V","Jessie Foster","old"
,"U","Dakota Edwards","old"
,"BP","Shawn Mitchell","old"
,"J","Jamie Harrison","old"
,"K","Reese Johnson","old"
,"L","Alex Atkins","old"
,"C","Morgan Greenwood","old"
,"G","Quinn Armstrong","old"
,"H","Greg Jennings","old"
,"CO","Emily Boyd","old"
,"CI","Sarah Owens","old"
,"CP","Tiffany Horton","old"
,"CJ","Elizabeth Simpson","old"
,"CQ","Megan Stone","old"
,"CK","Alice Creed","old"
,"CD","Peter Bell","old"
,"BV","William Jenkins","old"
,"CE","Patrick Schwartz","old"
,"BW","Robert Powell","old"
,"CR","Andrew Cohen","old"
,"BY","Paul Marshall","old"
,"CX","Natalie Shaw","new"
,"CY","Andrea Hunt","new"
,"CZ","Cindy Dunn","new"
,"DI","Karen Perkins","new"
,"DJ","Abby Pierce","new"
,"DK","Anna Olsen","new"
,"DL","Kelsey Hart","new"
,"DH","Jeff Cook","new"
,"DV","Noah Reid","new"
,"DW","Liam Howard","new"
,"DX","Caleb Torres","new"
,"DY","Conner Gray","new"
,"DZ","Zach Price","new"
,"EA","Isaac Bennett","new"
,"P","Andy Bourne","new"
,"AO","MacKensie Barnett","new"
,"X","Jay Hughes","new"
,"O","Tyler Clarke","new"
,"AK","Kieran Feldman","new"
,"Z","Pat Dempsey","new"
,"AD","Brooke Wright","new"
,"BA","Adrian Morris","new"
,"BH","Cory Shepard","new"
,"AW","London Martin","new"
,"AY","Eden Baldwin","new"
,"AZ","Kim Thomson","new"
,"Q","Drew Weber","new"
,"AL","Stacey Bridges","new"
,,,
"Day 2: TEST PHASE",,,
,"BD","Gerry Walker","old - retest"
,"BF","Cassidy Thornton","old - retest"
,"BM","Madison Phillips","old - retest"
,"W","Lee Carter","old - retest"
,"BS","Julia Keller","old - retest"
,"BK","Sasha Goldstein","old - retest"
,"BN","Meridith Townsend","old - retest"
,"V","Jessie Foster","old - retest"
,"U","Dakota Edwards","old - retest"
,"BP","Shawn Mitchell","old - retest"
,"J","Jamie Harrison","old - retest"
,"K","Reese Johnson","old - retest"
,"L","Alex Atkins","old - retest"
,"C","Morgan Greenwood","old - retest"
,"G","Quinn Armstrong","old - retest"
,"H","Greg Jennings","old - retest"
,"CO","Emily Boyd","old - retest"
,"CI","Sarah Owens","old - retest"
,"CP","Tiffany Horton","old - retest"
,"CJ","Elizabeth Simpson","old - retest"
,"CQ","Megan Stone","old - retest"
,"CK","Alice Creed","old - retest"
,"CD","Peter Bell","old - retest"
,"BV","William Jenkins","old - retest"
,"CE","Patrick Schwartz","old - retest"
,"BW","Robert Powell","old - retest"
,"CR","Andrew Cohen","old - retest"
,"BY","Paul Marshall","old - retest"
,"DU","Erin Craig","old"
,"EJ","Elyse Dawson","old"
,"CS","Emma Tucker","old"
,"CT","Olivia Wells","old"
,"CU","Sophie Mason","old"
,"CV","Chloe Dixon","old"
,"CW","Hannah Holmes","old"
,"DA","Jacob Moore","old"
,"DB","Ethan White","old"
,"DC","Daniel Garcia","old"
,"DD","Anthony Young","old"
,"DE","Matthew King","old"
,"DF","Jason Baker","old"
,"DG","Kyle Nelson","old"
,"B","Jordan Irwin","old"
,"D","Taylor Hamilton","old"
,"F","Chris Irving","old"
,"Y","Sam Anderson","old"
,"E","Robin Jackson","old"
,"I","Ali Ferguson","old"
,"BT","Charlie Henderson","old"
,"BJ","Jonah Newton","old"
,"BI","Brett Roberts","old"
,"BQ","Aubrey Reynolds","old"
,"M","Logan Greenberg","old"
,"BL","Ricki Jones","old"
,"BR","Bobby Lynch","old"
,"AX","Kerry Lewis","old"
,"AA","Skye Campbell","new"
,"AB","Kelly Huth","new"
,"AH","Ashley Turner","new"
,"AI","Jackie Wagner","new"
,"AP","Sandy Davis","new"
,"AR","Riley Miller","new"
,"AV","Dylan Sanders","new"
,"AM","Ainsley Stewart","new"
,"AN","Stevie Wilson","new"
