"Day 1: STUDY PHASE",,,
,"CX","Natalie Shaw",
,"CY","Andrea Hunt",
,"CZ","Cindy Dunn",
,"DI","Karen Perkins",
,"DJ","Abby Pierce",
,"DK","Anna Olsen",
,"DL","Kelsey Hart",
,"DH","Jeff Cook",
,"DV","Noah Reid",
,"DW","Liam Howard",
,"DX","Caleb Torres",
,"DY","Conner Gray",
,"DZ","Zach Price",
,"EA","Isaac Bennett",
,"P","Andy Bourne",
,"AO","MacKensie Barnett",
,"X","Jay Hughes",
,"O","Tyler Clarke",
,"AK","Kieran Feldman",
,"Z","Pat Dempsey",
,"AD","Brooke Wright",
,"BA","Adrian Morris",
,"BH","Cory Shepard",
,"AW","London Martin",
,"AY","Eden Baldwin",
,"AZ","Kim Thomson",
,"Q","Drew Weber",
,"AL","Stacey Bridges",
,"AA","Skye Campbell",
,"AB","Kelly Huth",
,"AH","Ashley Turner",
,"AI","Jackie Wagner",
,"AP","Sandy Davis",
,"AR","Riley Miller",
,"AV","Dylan Sanders",
,"AM","Ainsley Stewart",
,"AN","Stevie Wilson",
,"R","Billie Dailey",
,"AU","Jean Lambert",
,"A","Kendall McDonald",
,"AE","Lindsay Richmond",
,"AG","Bailey Brewer",
,"DM","Michelle Fox",
,"DN","Colleen Weaver",
,"DO","Ruby Elliot",
,"DP","Louise Welch",
,"DQ","Rachel Fleming",
,"DR","Ellen Watts",
,"DS","Christine Barker",
,"EB","Justin Barnes",
,"EC","Bradley Ross",
,"ED","Grant Perry",
,"EE","Adam Griffen",
,"EF","Max Freeman",
,"EG","Derek Burns",
,"EH","Thomas Hicks",
,,,
"Day 1: TEST PHASE",,,
,"CX","Natalie Shaw","old"
,"CY","Andrea Hunt","old"
,"CZ","Cindy Dunn","old"
,"DI","Karen Perkins","old"
,"DJ","Abby Pierce","old"
,"DK","Anna Olsen","old"
,"DL","Kelsey Hart","old"
,"DH","Jeff Cook","old"
,"DV","Noah Reid","old"
,"DW","Liam Howard","old"
,"DX","Caleb Torres","old"
,"DY","Conner Gray","old"
,"DZ","Zach Price","old"
,"EA","Isaac Bennett","old"
,"P","Andy Bourne","old"
,"AO","MacKensie Barnett","old"
,"X","Jay Hughes","old"
,"O","Tyler Clarke","old"
,"AK","Kieran Feldman","old"
,"Z","Pat Dempsey","old"
,"AD","Brooke Wright","old"
,"BA","Adrian Morris","old"
,"BH","Cory Shepard","old"
,"AW","London Martin","old"
,"AY","Eden Baldwin","old"
,"AZ","Kim Thomson","old"
,"Q","Drew Weber","old"
,"AL","Stacey Bridges","old"
,"DT","Jenny Fletcher","new"
,"CM","Amy Brown","new"
,"CF","Jennifer Smith","new"
,"CL","Julie Bowman","new"
,"CG","Lisa Myers","new"
,"CN","Melissa Evans","new"
,"CH","Laura Wallace","new"
,"EI","Ian Black","new"
,"CA","Steven Banks","new"
,"BU","James O'Donnell","new"
,"CB","Brian Hall","new"
,"BX","David Gibson","new"
,"CC","Joshua Clement","new"
,"BZ","Mark Crawford","new"
,"AQ","Shannon McIntosh","new"
,"AS","Peyton Butler","new"
,"AT","Parker Richards","new"
,"BB","Terry Schofield","new"
,"BC","Ariel Glover","new"
,"BE","Avery Murphy","new"
,"BG","Dominique Gilbert","new"
,"AF","Joey Collins","new"
,"AC","Frankie Bender","new"
,"AJ","Rory Cooper","new"
,"S","Blake Fuller","new"
,"BO","Cody Prebble","new"
,"N","Devon Peterson","new"
,"T","Tracy Hubbard","new"
,,,
"Day 2: TEST PHASE",,,
,"CX","Natalie Shaw","old-retest"
,"CY","Andrea Hunt","old-retest"
,"CZ","Cindy Dunn","old-retest"
,"DI","Karen Perkins","old-retest"
,"DJ","Abby Pierce","old-retest"
,"DK","Anna Olsen","old-retest"
,"DL","Kelsey Hart","old-retest"
,"DH","Jeff Cook","old-retest"
,"DV","Noah Reid","old-retest"
,"DW","Liam Howard","old-retest"
,"DX","Caleb Torres","old-retest"
,"DY","Conner Gray","old-retest"
,"DZ","Zach Price","old-retest"
,"EA","Isaac Bennett","old-retest"
,"P","Andy Bourne","old-retest"
,"AO","MacKensie Barnett","old-retest"
,"X","Jay Hughes","old-retest"
,"O","Tyler Clarke","old-retest"
,"AK","Kieran Feldman","old-retest"
,"Z","Pat Dempsey","old-retest"
,"AD","Brooke Wright","old-retest"
,"BA","Adrian Morris","old-retest"
,"BH","Cory Shepard","old-retest"
,"AW","London Martin","old-retest"
,"AY","Eden Baldwin","old-retest"
,"AZ","Kim Thomson","old-retest"
,"Q","Drew Weber","old-retest"
,"AL","Stacey Bridges","old-retest"
,"AA","Skye Campbell","old"
,"AB","Kelly Huth","old"
,"AH","Ashley Turner","old"
